class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.6953612218271815,0.42,0.4,0.42,0.3283270299434662,0.97074822396025,0.41,1.0,0.45,0.6943162679672241,0.7982535884826886,0.6,0.8,0.47,0.9157102108001709,0.4341863536477831,0.46,0.0,0.45,0.6951372623443604,0.28965184924437354,0.22,0.2,0.45,0.4002152681350708
1,0.7104240446209266,0.54,0.6,0.54,0.7844567894935608,0.7048326944290882,0.52,1.0,0.64,0.8568536043167114,0.6464041564840094,0.61,0.4,0.52,0.8638321757316589,0.808853516355891,0.65,0.6,0.73,0.9350269436836243,0.6318188386829743,0.69,0.8,0.47,0.9652292132377625
1,0.9606967527682505,0.82,0.8,0.92,0.9872020483016968,0.999725244831967,0.84,1.0,0.93,0.9892969727516174,0.6187371913090965,0.57,0.6,0.69,0.9065658450126648,0.8386644601059917,0.8,0.6,0.81,0.9945472478866577,0.6197410221084527,0.69,0.6,0.84,0.9484696388244629
1,0.996914106974642,0.84,0.6,0.91,0.9898179173469543,0.9989728814332478,0.82,1.0,0.91,0.9334054589271545,0.51930509926514,0.7,0.8,0.72,0.789465069770813,0.8502821162441282,0.73,0.8,0.79,0.973249077796936,0.5806705489248222,0.66,0.6,0.7,0.5025646090507507
1,0.5061484830483238,0.5,0.8,0.57,0.8854465484619141,0.9288278347631133,0.33,1.0,0.42,0.023455677554011345,0.5336909842951463,0.68,0.6,0.6,0.9832151532173157,0.6986898081860785,0.49,0.8,0.58,0.3393867611885071,0.5493848506731104,0.43,0.4,0.42,0.15084002912044525
1,0.93184995606775,0.68,1.0,0.47,0.9365564584732056,0.11177436543590706,0.38,0.8,0.49,0.5504609942436218,0.273327631148534,0.54,0.6,0.61,0.6311749815940857,0.44185739912456434,0.54,0.4,0.45,0.771261990070343,0.43800403733097476,0.64,0.4,0.65,0.37648990750312805
1,0.9696775126721431,0.59,0.8,0.43,0.938255786895752,0.9958476079804085,0.76,1.0,0.75,0.7756590247154236,0.313813856042826,0.41,0.4,0.46,0.5084633231163025,0.8823999139001207,0.66,0.8,0.58,0.7680225372314453,0.44872780762247094,0.51,0.4,0.5,0.4778745472431183
1,0.8888859265376896,0.62,0.8,0.56,0.5722527503967285,0.8829438591049148,0.52,1.0,0.58,0.4554257094860077,0.7936788221720751,0.64,1.0,0.65,0.7602677345275879,0.6839306564388052,0.5,0.6,0.43,0.8570467233657837,0.7478528766618125,0.85,0.4,0.88,0.9731693863868713
1,0.006074527212638305,0.56,0.6,0.49,0.7976535558700562,0.7771326730165148,0.54,1.0,0.55,0.8570060133934021,0.11901096083975875,0.36,0.6,0.49,0.3981095552444458,0.5492312065922492,0.56,0.2,0.56,0.2861722707748413,0.42702788727802365,0.58,0.2,0.47,0.15752436220645905
1,0.03403274679805491,0.28,0.2,0.4,0.13554975390434265,0.003391538359966947,0.37,1.0,0.29,0.12501834332942963,0.5777580616722628,0.61,0.4,0.51,0.8616122007369995,0.12207798323748922,0.33,0.2,0.4,0.02404177375137806,0.43999835666960324,0.46,0.2,0.44,0.0698164626955986
1,0.7926804016132591,0.5,0.8,0.64,0.36733558773994446,0.013120942502608477,0.34,0.8,0.4,0.4354499876499176,0.35576646750580415,0.55,0.6,0.52,0.8693737387657166,0.612295593273552,0.56,1.0,0.64,0.22495804727077484,0.5137902520175421,0.36,0.2,0.22,0.1126958578824997
1,0.8434952600441891,0.44,0.6,0.57,0.08869903534650803,0.9386356454806651,0.63,1.0,0.79,0.41665026545524597,0.42698191158491566,0.7,0.8,0.72,0.8840916156768799,0.800407607889686,0.68,0.4,0.69,0.9583972692489624,0.6457860224013774,0.69,0.4,0.6,0.9851940274238586
1,0.2868945445380075,0.4,0.8,0.42,0.31552067399024963,0.6334020891324567,0.52,1.0,0.64,0.2074299454689026,0.29056184690554443,0.54,1.0,0.57,0.7891958951950073,0.3077685126506062,0.39,0.6,0.53,0.05734093859791756,0.3445249345289551,0.68,0.8,0.55,0.8648390173912048
1,0.9831098204628733,0.69,1.0,0.74,0.8944131731987,0.9917354610213721,0.78,1.0,0.75,0.9975448250770569,0.5721081535953085,0.8,0.8,0.77,0.9931215643882751,0.848118369570312,0.66,0.8,0.76,0.9389358758926392,0.39139344089675976,0.39,0.4,0.54,0.11989884078502655
1,0.8334066093845502,0.65,1.0,0.58,0.6636664867401123,0.40327202599363443,0.55,1.0,0.59,0.8478241562843323,0.7159319530468248,0.53,0.8,0.54,0.9922186136245728,0.9513690331413492,0.68,1.0,0.79,0.8456304669380188,0.7717896212883849,0.78,0.8,0.82,0.9795498251914978
1,0.9599947244040081,0.61,1.0,0.74,0.9906170964241028,0.9977591650316486,0.77,1.0,0.85,0.9552569389343262,0.6060240669031722,0.86,0.8,0.75,0.9858474135398865,0.857702474687913,0.73,0.8,0.67,0.9748704433441162,0.5285584120158638,0.74,0.8,0.74,0.9905703067779541
1,0.9857437166486172,0.91,1.0,0.96,0.9937376976013184,0.9928363696154632,0.86,1.0,0.96,0.9645103812217712,0.5429867867156433,0.9,1.0,0.98,0.994925856590271,0.9962608151064856,0.87,1.0,0.94,0.9971330165863037,0.49083844132553184,0.85,0.8,0.95,0.9679072499275208
