class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.0061918359721534555,0.45,0.0,0.26,0.005356526467949152,0.00036912086675047875,0.3,0.2,0.31,0.6357484459877014,0.9133582793345643,0.73,0.0,0.62,0.9592952132225037,0.5739996052572294,0.45,1.0,0.48,0.2412503957748413,0.5869418614823181,0.76,0.2,0.57,0.9447990655899048
1,0.1308019307045038,0.2,0.0,0.23,0.0960799902677536,0.0021440990364718572,0.19,0.2,0.2,0.104210764169693,0.18177281040674653,0.29,0.4,0.305,0.1829245239496231,0.18220407184866685,0.1,0.0,0.12,0.00694615300744772,0.2665325372349416,0.14,0.0,0.17,0.1565590500831604
1,0.7819798996527664,0.74,0.2,0.89,0.987194836139679,0.3050450504550308,0.62,0.4,0.72,0.8895963430404663,0.5406558935466939,0.49,0.4,0.6,0.8167900443077087,0.7410756316267185,0.56,0.8,0.72,0.7851332426071167,0.25275828706515047,0.55,0.6,0.67,0.6791278719902039
1,0.5242942892714472,0.58,0.2,0.73,0.850978672504425,0.88554616001347,0.55,0.6,0.68,0.8521500825881958,0.38909730132463505,0.3,0.2,0.61,0.3697125017642975,0.396925327637463,0.45,0.8,0.6,0.6783681511878967,0.2589384851549078,0.36,0.2,0.56,0.7701760530471802
1,0.20603302902897092,0.38,0.0,0.3,0.04523058980703354,0.3502583608430678,0.17,0.4,0.2,0.013853631913661957,0.29117262592630655,0.24766666666666665,0.2,0.225,0.5852063298225403,0.2415341271503308,0.47,0.2,0.39,0.8033030033111572,0.31319069784577147,0.45,0.4,0.47,0.05381123721599579
1,0.11656299980425994,0.4,0.4,0.39,0.1559678018093109,0.0026147437351768843,0.34,0.0,0.3,0.11433377861976624,0.16862082291975464,0.39,0.0,0.335,0.00650083227083087,0.3349092709950029,0.65,0.4,0.54,0.12994228303432465,0.14065406447325413,0.26,0.2,0.24,0.18313516676425934
1,0.07412985610402985,0.05,0.0,0.01,0.00902227871119976,0.000488668035805866,0.07,0.0,0.07,0.004758389666676521,0.03465404036395462,0.02,0.0,0.05,0.000450146704679355,0.032644128919339536,0.06,0.0,0.01,0.0003367986355442554,0.037688112272466504,0.02,0.0,0.0,0.007746778894215822
1,0.003402352331694216,0.17,0.0,0.27,0.013938698917627335,0.00029172716496846855,0.27,0.0,0.23,0.02048812434077263,0.20689729613612046,0.3016666666666667,0.2,0.255,0.04020795598626137,0.2232818794501369,0.14,0.2,0.32,0.04881336912512779,0.20509459235903815,0.19,0.2,0.26,0.1289328932762146
1,0.19315592659494965,0.17,0.2,0.06,0.018714765086770058,0.06650985715842031,0.33,0.4,0.21,0.5752110481262207,0.08735729621238207,0.07,0.2,0.0,0.008655823767185211,0.25640146731042013,0.24,0.0,0.17,0.021390337496995926,0.24381126616991583,0.25,0.2,0.12,0.04549018293619156
1,0.00041510564892359957,0.31,0.0,0.13,0.005155960563570261,0.000633025574646305,0.24,0.0,0.21,0.023156095296144485,0.1246686134837043,0.1,0.0,0.08,0.038741495460271835,0.00290201370116044,0.3,0.0,0.14,0.0034238069783896208,0.038027322742696296,0.04,0.0,0.13,0.015415472909808159
1,0.05041225910772843,0.41,0.2,0.43,0.7052750587463379,0.0042497467397113456,0.36,0.4,0.35,0.04545844346284866,0.6999344744699129,0.64,0.4,0.62,0.5821040272712708,0.1654828295148645,0.42,0.4,0.48,0.3059988021850586,0.5636166773005938,0.46,0.6,0.52,0.05971985310316086
1,0.017956650274023104,0.14,0.2,0.11,0.0003428543859627098,5.97439495557461e-05,0.13,0.0,0.19,0.00251582614146173,0.11374690418276273,0.25,0.0,0.305,0.03494534641504288,0.05607291539064604,0.14,0.0,0.27,0.0028842510655522346,0.05197616861103911,0.02,0.2,0.07,0.003107895841822028
1,0.15595341156524398,0.29,0.0,0.3,0.023549741134047508,0.009558988656075637,0.3,0.0,0.22,0.024729980155825615,0.23271751148844852,0.19,0.2,0.16,0.11723893135786057,0.08483263163957043,0.27,0.4,0.29,0.007198059465736151,0.05855716310555782,0.2,0.0,0.17,0.008943443186581135
1,0.23906449952038508,0.57,0.4,0.49,0.17338043451309204,0.8161150316804598,0.45,0.6,0.34,0.664580225944519,0.38429402583773176,0.55,0.2,0.51,0.11811286211013794,0.2527572562647084,0.46,0.4,0.42,0.4070907533168793,0.49033518419878797,0.41,0.8,0.35,0.15937575697898865
1,0.9974033177446214,0.59,0.8,0.57,0.9924319982528687,0.1155321097761585,0.5,0.8,0.32,0.7561832070350647,0.26830530803425,0.47,0.2,0.4,0.483345091342926,0.637319351087482,0.62,0.8,0.54,0.8011670708656311,0.4945583848968737,0.5,0.4,0.5,0.9446591138839722
1,0.8941746708847453,0.67,0.6,0.61,0.9833553433418274,0.9992921343496258,0.63,0.6,0.73,0.9914180040359497,0.45276153663893925,0.44,0.6,0.45,0.6683708429336548,0.8703841298484574,0.56,0.8,0.6,0.8971830010414124,0.4305148420788016,0.36,0.2,0.27,0.11053166538476944
1,0.19576668285592758,0.57,0.4,0.55,0.9696994423866272,0.7965238312726074,0.55,0.6,0.73,0.8342925310134888,0.45286155927085353,0.61,0.4,0.69,0.6754502058029175,0.48323844356618106,0.34,0.4,0.56,0.311026394367218,0.39359748671440503,0.65,0.8,0.78,0.9667070508003235
1,0.8247040806342041,0.64,0.4,0.63,0.9546719789505005,0.7987075833703915,0.52,0.6,0.71,0.27447590231895447,0.30200225344206805,0.67,0.2,0.88,0.93381667137146,0.5044841429850996,0.55,0.4,0.69,0.4686068594455719,0.28382747063466807,0.46,0.4,0.68,0.5969544649124146
1,0.10385124972145993,0.49,0.6,0.37,0.4980098307132721,0.007799567606312533,0.71,0.6,0.35,0.9765617847442627,0.10738553097906048,0.55,0.2,0.44,0.2384815663099289,0.2628813212198978,0.41,0.6,0.45,0.005183001514524221,0.3459844145724963,0.27,0.6,0.31,0.08358863741159439
1,0.16722165702629274,0.24,0.0,0.18,0.11809016764163971,0.19751264941556596,0.22,0.6,0.39,0.14411704242229462,0.5924070350251068,0.54,0.0,0.46,0.44248268008232117,0.2986865542418315,0.39,0.2,0.37,0.43923336267471313,0.20649526488675618,0.2,0.2,0.28,0.06102970242500305
1,0.8075322207802687,0.48,0.4,0.44,0.6261810660362244,0.041910901300285665,0.47,0.6,0.41,0.06784171611070633,0.8758724686094278,0.63,0.4,0.57,0.7645598649978638,0.7122417789116172,0.19,0.4,0.2,0.029792899265885353,0.4447088694218718,0.56,0.8,0.66,0.778225302696228
1,0.5867376671786462,0.65,0.6,0.71,0.9860357046127319,0.0933931645815032,0.51,0.6,0.42,0.299860417842865,0.09730754059101179,0.29,0.0,0.32,0.07536950707435608,0.7344464551791492,0.59,0.6,0.55,0.6200423836708069,0.5117725291601845,0.49,0.2,0.5,0.7882766127586365
1,0.5174026799664416,0.55,0.2,0.52,0.5536506175994873,0.3998747848386781,0.55,0.4,0.51,0.7541442513465881,0.08075541399048741,0.3,0.4,0.37,0.006657944526523352,0.47705739598704777,0.42,0.8,0.39,0.7436346411705017,0.5044477195683914,0.27,0.6,0.37,0.019750814884901047
1,0.9106299113308481,0.64,0.8,0.64,0.9048413634300232,0.9305487474202846,0.43,0.6,0.42,0.21851101517677307,0.10602710763631212,0.35,0.0,0.33,0.03306439891457558,0.8235399730954127,0.57,0.8,0.63,0.442361056804657,0.33233210339975766,0.36,0.2,0.23,0.37537845969200134
1,0.9299896378262992,0.61,0.8,0.64,0.793691098690033,0.9929632056676634,0.46,0.6,0.55,0.4774463474750519,0.10763858897419931,0.39,0.0,0.38,0.11361169070005417,0.8188276363249524,0.61,0.8,0.62,0.8353493809700012,0.36973377966864635,0.42,0.2,0.36,0.8304482102394104
1,0.17934367805506315,0.09,0.0,0.02,0.018828116357326508,0.004225373953219728,0.02,0.0,0.0,0.0006211740546859801,0.15228628825916862,0.05,0.0,0.07,0.0004848426324315369,0.13934050790608593,0.04,0.0,0.0,0.006127510219812393,0.3955940853993712,0.1,0.8,0.16,0.003128199838101864
1,0.7790175755205317,0.6,0.6,0.46,0.7973737716674805,0.42323813800340115,0.5,0.6,0.49,0.1218084916472435,0.48331029009516724,0.43,0.2,0.47,0.7062221169471741,0.6421054153757648,0.55,0.6,0.43,0.946291446685791,0.4253025607595515,0.53,0.2,0.44,0.8397730588912964
