,class,KNN_PAAC,KNN_DPC,ANN_DPC,KNN_CKSAAGP,ERT_CKSAAGP
0,1,1.0,0.2,0.0003691208667504788,0.0,0.62
1,1,0.0,0.2,0.002144099036471857,0.4,0.305
2,1,0.8,0.4,0.3050450504550308,0.4,0.6
3,1,0.8,0.6,0.8855461600134699,0.2,0.61
4,1,0.2,0.4,0.3502583608430678,0.2,0.225
5,1,0.4,0.0,0.0026147437351768843,0.0,0.335
6,1,0.0,0.0,0.000488668035805866,0.0,0.05
7,1,0.2,0.0,0.0002917271649684685,0.2,0.255
8,1,0.0,0.4,0.06650985715842031,0.2,0.0
9,1,0.0,0.0,0.000633025574646305,0.0,0.08
10,1,0.4,0.4,0.0042497467397113456,0.4,0.62
11,1,0.0,0.0,5.9743949555746106e-05,0.0,0.305
12,1,0.4,0.0,0.009558988656075636,0.2,0.16
13,1,0.4,0.6,0.8161150316804598,0.2,0.51
14,1,0.8,0.8,0.1155321097761585,0.2,0.4
15,1,0.8,0.6,0.9992921343496258,0.6,0.45
16,1,0.4,0.6,0.7965238312726074,0.4,0.69
17,1,0.4,0.6,0.7987075833703915,0.2,0.88
18,1,0.6,0.6,0.007799567606312533,0.2,0.44
19,1,0.2,0.6,0.197512649415566,0.0,0.46
20,1,0.4,0.6,0.04191090130028567,0.4,0.57
21,1,0.6,0.6,0.0933931645815032,0.0,0.32
22,1,0.8,0.4,0.3998747848386781,0.4,0.37
23,1,0.8,0.6,0.9305487474202846,0.0,0.33
24,1,0.8,0.6,0.9929632056676634,0.0,0.38
25,1,0.0,0.0,0.004225373953219728,0.0,0.07
26,1,0.6,0.6,0.4232381380034012,0.2,0.47
27,1,0.8,0.6,0.005763175360174719,0.0,0.34
28,1,0.2,0.0,9.88785083171448e-05,0.0,0.29
29,1,0.2,0.2,0.0003776324606412527,0.0,0.18
30,1,1.0,0.4,0.7242760133117216,0.0,0.3
31,1,0.0,0.4,0.006999443168979496,0.0,0.16
32,1,0.4,0.2,0.6432480773735427,0.6,0.41
33,1,0.4,1.0,0.004072082796787232,0.4,0.58
34,1,0.8,0.6,0.0005421838392825417,0.2,0.2
35,1,0.6,0.2,0.017893611870109655,0.0,0.2
36,1,0.0,0.4,0.02549968672060897,0.0,0.26
37,1,1.0,1.0,0.9999658151074544,1.0,1.0
38,1,0.8,0.4,0.9996422123312124,0.4,0.85
39,1,0.4,0.0,0.14261819216334698,0.4,0.67
40,1,0.4,0.4,0.0007943464854315456,0.4,0.5
41,1,1.0,0.0,0.0021619255031597013,0.2,0.615
42,1,1.0,1.0,0.999998911105362,1.0,0.98
43,1,1.0,1.0,0.999207848693636,1.0,0.96
44,1,0.6,0.8,0.003619582594439448,0.6,0.625
45,1,1.0,0.8,0.4433304329230778,0.6,0.75
46,1,0.6,1.0,0.530086534566237,0.6,0.66
47,1,1.0,0.2,0.7540347165185117,1.0,0.83
48,1,1.0,0.4,0.9742245777456215,0.4,0.61
49,1,1.0,1.0,0.9999996469227141,0.6,0.73
50,1,0.8,0.4,0.04394065231298906,0.2,0.58
51,1,0.8,0.8,0.9995014473621642,0.8,0.72
52,1,0.8,0.6,0.4849097702337265,0.6,0.75
53,1,1.0,0.8,0.999563756965114,0.8,0.7
54,1,0.4,1.0,0.9759599296985632,0.6,0.55
55,1,1.0,1.0,0.9999479652350466,1.0,0.92
56,1,1.0,1.0,0.9999956920060904,1.0,1.0
57,1,1.0,1.0,0.9999885778697968,1.0,0.98
58,1,1.0,1.0,0.9997694348551216,1.0,0.84
59,1,1.0,1.0,0.9998896995163336,1.0,0.78
60,1,1.0,1.0,0.9999093716056868,0.6,0.63
61,1,0.8,0.2,0.00014227691282802881,0.0,0.39
62,1,1.0,1.0,0.9999778596914376,1.0,0.82
63,1,1.0,1.0,0.9999980268328472,1.0,1.0
64,1,1.0,0.8,0.995849358786645,1.0,0.74
65,1,0.6,0.4,0.9045560579759842,0.8,0.67
66,1,1.0,1.0,0.9999256578457312,0.4,0.67
67,1,1.0,1.0,0.9999929843461044,1.0,1.0
68,1,1.0,1.0,0.9999531518873876,1.0,0.87
69,1,1.0,1.0,0.9998088178417324,1.0,0.67
