class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
0,0.9998290160147099,0.93,0.8,0.86,0.9986756443977356,0.2928708719592496,0.66,0.6,0.91,0.9491223096847534,0.7079466387294183,0.78,0.4,0.75,0.9623085260391235,0.847889738427681,0.84,0.8,0.81,0.9871194362640381,0.3850108514747213,0.72,0.4,0.47,0.7666511535644531
0,0.042325246850829265,0.52,0.0,0.25,0.701235294342041,0.010531581592151886,0.29,0.0,0.33,0.37582021951675415,0.2833256559439851,0.65,0.2,0.59,0.9817272424697876,0.0251604248129072,0.39,0.2,0.37,0.13621366024017334,0.3163715205871636,0.71,0.2,0.61,0.6767705082893372
0,0.5182407473327728,0.31,0.0,0.38,0.34834352135658264,0.01893275016895295,0.22,0.0,0.21,0.04071368649601936,0.03863548206538187,0.27,0.4,0.22,0.010692421346902847,0.7093149966985203,0.6,0.8,0.63,0.5508208870887756,0.23920126070335193,0.2,0.2,0.14,0.05266933515667915
0,0.002570133770788692,0.24,0.0,0.21,0.018760157749056816,0.007956553942582318,0.35,0.4,0.19,0.06409298628568649,0.10105291501995027,0.09,0.2,0.11,0.03231184184551239,0.10054467295991258,0.47,0.2,0.39,0.7882269024848938,0.284707827180685,0.05,0.4,0.05,0.005717202089726925
0,0.014558810476152834,0.07,0.0,0.03,0.005415288731455803,0.0006277842076522314,0.27,0.4,0.19,0.31491217017173767,0.1733693382757062,0.13,0.0,0.07,0.4520731568336487,0.029202356609423715,0.13,0.2,0.07,0.016812196001410484,0.21992647797068685,0.08,0.4,0.09,0.00486550759524107
0,0.002398709816588379,0.36,0.0,0.21,0.1370505541563034,0.0042188990764320975,0.23,0.4,0.14,0.03929437696933746,0.14344284811628785,0.17,0.0,0.24,0.36761873960494995,0.08198411917062003,0.32,0.0,0.24,0.07646328955888748,0.40590866375989576,0.32,0.2,0.28,0.031770970672369
0,0.09482723310525681,0.38,0.2,0.23,0.02235710807144642,4.87601630980048e-05,0.13,0.0,0.08,0.003681260859593749,0.08258177336205202,0.22666666666666668,0.2,0.195,0.007565672043710947,0.3026714878357731,0.42,0.2,0.24,0.036012206226587296,0.1556725258858083,0.11,0.4,0.04,0.003508806461468339
0,0.018517315924167953,0.09,0.0,0.05,0.005393211264163256,9.297686489760048e-06,0.12,0.0,0.06,0.014887680299580097,0.09972688551107134,0.0,0.0,0.03,0.0016241364646703005,0.0761263337864906,0.17,0.2,0.12,0.008906420320272446,0.23097903458381538,0.31,0.2,0.12,0.3300245404243469
0,0.02016759543073316,0.08,0.2,0.05,0.0019218013621866703,7.619556955567005e-05,0.19,0.0,0.06,0.0017342797946184874,0.11757944046938157,0.03,0.0,0.0,0.010845987126231194,0.254303522214513,0.39,0.4,0.17,0.1982264667749405,0.2596641544683716,0.07,0.4,0.04,0.008044716902077198
0,0.003822832621909956,0.26,0.2,0.14,0.02649395354092121,0.0006183647060633068,0.32,0.0,0.29,0.16532088816165924,0.10988265717855934,0.07,0.0,0.06,0.0008782386430539191,0.1118788925006723,0.18,0.2,0.15,0.0033926807809621096,0.17351496091777882,0.25,0.2,0.18,0.11585705727338791
0,0.9634513437279698,0.69,0.2,0.53,0.3967031240463257,0.8370714255736355,0.82,0.8,0.82,0.990527868270874,0.9071018861350567,0.68,0.6,0.77,0.9980912804603577,0.7342546578537209,0.68,0.6,0.54,0.8777454495429993,0.6723477334693696,0.34,0.2,0.3,0.009683399461209774
0,0.09447543481484474,0.16,0.2,0.06,0.0030487566255033016,0.25330387664039844,0.29,0.2,0.22,0.04961422085762024,0.10641140912049686,0.04,0.0,0.0,0.008349664509296417,0.37219615647773924,0.48,0.4,0.15,0.1709391325712204,0.34136709556833533,0.13,0.0,0.1,0.030713774263858795
